标题,链接,封面图,发布时间,内容类型,简介,来源,内容ID,视频时长
【任意球】强强对话握手言和 日耳曼战车冲击开门红,https://sports.cctv.com/2026/06/14/ARTIsdqxPpClvNEsT5fnsCL6260614.shtml,https://p5.img.cctvpic.com/photoworkspace/2026/06/14/2026061420002120734.jpg,,文章,央视网消息：北京时间6月14日，2026年美加墨世界杯继续进行。瑞士1-1战平卡塔尔；巴西1-1战平摩洛哥；苏格兰1-0小胜海地；澳大利亚2-0战胜土耳其。,央视网,ARTIsdqxPpClvNEsT5fnsCL6260614,
[世界杯]葡萄牙队抵达休斯敦进行赛前备战,https://sports.cctv.com/2026/06/14/VIDExDNehavOQpRFrdNl119D260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061419403183241.jpg,,视频,北京时间6月13日，葡萄牙队抵达休斯敦进行赛前备战。,央视网,VIDExDNehavOQpRFrdNl119D260614,
[世界杯]丢失装备已找回 英格兰队开始训练,https://sports.cctv.com/2026/06/14/VIDEUJxtxsag5FYKR0eziX7i260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061419335512634.jpg,,视频,近日，英格兰队丢失装备已找回，正在积极备战首场比赛。,央视网,VIDEUJxtxsag5FYKR0eziX7i260614,
[世界杯]阿根廷伤员归队 备战首场小组赛,https://sports.cctv.com/2026/06/14/VIDEgcDfvtFfWxwxSEispNqy260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061419294072102.jpg,,视频,美国当地时间6月13日，阿根廷队继续进行训练，备战首场小组赛。,央视网,VIDEgcDfvtFfWxwxSEispNqy260614,
[世界杯]瑞典队、突尼斯队大雨中完成赛前训练,https://sports.cctv.com/2026/06/14/VIDEsJQiqDz5g7Lz5oGtQGnx260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061419264217576.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来瑞典队与突尼斯队的比赛，目前双方正在积极备战。,央视网,VIDEsJQiqDz5g7Lz5oGtQGnx260614,
[世界杯]铁盾之争 厄瓜多尔队冲击20场不败,https://sports.cctv.com/2026/06/14/VIDED0lmhwfevgJcvSQwOT5A260614.shtml,https://p4.img.cctvpic.com/photoworkspace/2026/06/14/2026061419243816289.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来科特迪瓦队与厄瓜多尔队的比赛。,央视网,VIDED0lmhwfevgJcvSQwOT5A260614,
[世界杯]库拉索想要给德国队出难题,https://sports.cctv.com/2026/06/14/VIDExLAC6R5Dmq1ztojKxkUd260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061419204124359.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来德国队与库拉索队的比赛，库拉索队正积极备战中。,央视网,VIDExLAC6R5Dmq1ztojKxkUd260614,
[世界杯]德国队亮相 88岁寿星“收礼”,https://sports.cctv.com/2026/06/14/VIDEsL30N5FkSFSPTS5zvxzh260614.shtml,https://p2.img.cctvpic.com/photoworkspace/2026/06/14/2026061419180748102.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来德国队与库拉索队的比赛，德国队进行了发布会，并向88岁的德国体育记者哈特穆特送上生日祝福。,央视网,VIDEsL30N5FkSFSPTS5zvxzh260614,
[世界杯]森保一目标明确 上田绮世力争进球,https://sports.cctv.com/2026/06/14/VIDEomJRrZgBw2w5GAYPSpoq260614.shtml,https://p1.img.cctvpic.com/photoworkspace/2026/06/14/2026061419150377892.jpg,,视频,北京时间6月15日，美加墨世界杯将迎来荷兰队与日本队的比赛，上田绮世表示力争进球，带队取胜。,央视网,VIDEomJRrZgBw2w5GAYPSpoq260614,
[世界杯]伊兰昆达：梦想成真 进球感觉太美妙,https://sports.cctv.com/2026/06/14/VIDEzv7cKihoYodv50QPu6vG260614.shtml,https://p3.img.cctvpic.com/photoworkspace/2026/06/14/2026061419115639257.jpg,,视频,北京时间6月14日，2026年美加墨世界杯D组第1轮，澳大利亚2-0战胜土耳其。赛后伊兰昆达表示，梦想成真，进球感觉太美妙。,央视网,VIDEzv7cKihoYodv50QPu6vG260614,
